YEAR	WINNER	RUNNER-UP	SCORE
1926	Molla Bjurstedt Mallory (USA)	Elizabeth Ryan (USA)	4-6, 6-4, 9-7
1925	Helen Wills Moody (USA)	Kitty McKane Godfree (GBR)	3-6, 6-0, 6-2
1924	Helen Wills Moody (USA)	Molla Bjurstedt Mallory (USA)	6-1, 6-3
1923	Helen Wills Moody (USA)	Molla Bjurstedt Mallory (USA)	6-2, 6-1
1922	Molla Bjurstedt Mallory (USA)	Helen Wills Moody (USA)	6-3, 6-1
1921	Molla Bjurstedt Mallory (USA)	Mary Browne (USA)	4-6, 6-4, 6-2
1920	Molla Bjurstedt Mallory (USA)	Marion Zinderstein (USA)	6-3, 6-1
1919	Hazel Hotchkiss Wightman (USA)	Marion Zinderstein (USA)	6-1, 6-2
1918	Molla Bjurstedt Mallory (NOR)	Eleanor Goss (USA)	6-4, 6-3
1917	Molla Bjurstedt Mallory (NOR)	Marion Vanderhoef (USA)	4-6, 6-0, 6-2
1916	Molla Bjurstedt Mallory (NOR)	Louise Hammond Raymond (USA)	6-0, 6-1
1915	Molla Bjurstedt Mallory (NOR)	Hazel Hotchkiss Wightman (USA)	4-6, 6-2, 6-0
1914	Mary Browne (USA)	Marie Wagner (USA)	6-2, 1-6, 6-1
1913	Mary Browne (USA)	Dorothy Green (USA)	6-2, 7-5
1912	Mary Browne (USA)	Eleonora Sears (USA)	6-4, 6-2
1911	Hazel Hotchkiss Wightman (USA)	Florence Sutton (USA)	8-10, 6-1, 9-7
1910	Hazel Hotchkiss Wightman (USA)	Louise Hammond Raymond (USA)	6-4, 6-2
1909	Hazel Hotchkiss Wightman (USA)	Maud Barger-Wallach (USA)	6-0, 6-1
1908	Maud Barger-Wallach (USA)	Evelyn Sears (USA)	6-3, 1-6, 6-3
1907	Evelyn Sears (USA)	Carrie Neely (USA)	6-3, 6-2
1906	Helen Homans (USA)	Maud Barger-Wallach (USA)	6-4, 6-3
1905	Elisabeth Moore (USA)	Helen Homans (USA)	6-4, 5-7, 6-1
1904	May Sutton (USA)	Elisabeth Moore (USA)	6-1, 6-2
1903	Elisabeth Moore (USA)	Marion Jones (USA)	7-5, 8-6
1902	Marion Jones (USA)	Elisabeth Moore (USA)	6-1, 1-0, retired
1901	Elisabeth Moore (USA)	Myrtle McAteer (USA)	6-4, 3-6, 7-5, 2-6, 6-2
1900	Myrtle McAteer (USA)	Edith Parker (USA)	6-2, 6-2, 6-0
1899	Marion Jones (USA)	Maud Banks (USA)	6-1, 6-1, 7-5
1898	Juliette Atkinson (USA)	Marion Jones (USA)	6-3, 5-7, 6-4, 2-6, 7-5
1897	Juliette Atkinson (USA)	Elisabeth Moore (USA)	6-3, 6-3, 4-6, 3-6, 6-3
1896	Elisabeth Moore (USA)	Juliette Atkinson (USA)	6-4, 4-6, 6-2, 6-2
1895	Juliette Atkinson (USA)	Helen Hellwig (USA)	6-4, 6-2, 6-1
1894	Helen Hellwig (USA)	Aline Terry (USA)	7-5, 3-6, 6-0, 3-6, 6-3
1893	Aline Terry (USA)	Augusta Schultz (USA)	6-1, 6-3
1892	Mabel Cahill (BRI)	Elisabeth Moore (USA)	5-7, 6-3, 6-4, 4-6, 6-2
1891	Mabel Cahill (BRI)	Ellen Roosevelt (USA)	6-4, 6-1, 4-6, 6-3
1890	Ellen Roosevelt (USA)	Bertha Townsend (USA)	6-2, 6-2
1889	Bertha Townsend (USA)	Lida Voorhees (USA)	7-5, 6-2
1888	Bertha Townsend (USA)	Ellen Hansell (USA)	6-3, 6-5
1887	Ellen Hansell (USA)	Laura Knight (USA)	6-1, 6-0
