YEAR	WINNER	RUNNER-UP	SCORE
1912	Max Decugis (FRA)	Andre Gobert (FRA)	
1911	Andre Gobert (FRA)	Maurice Germot (FRA)	6-1, 8-6, 7-5
1910	Maurice Germot (FRA)	Francois Blanchy (FRA)	6-1, 6-3, 4-6, 6-3
1909	Max Decugis (FRA)	Maurice Germot (FRA)	3-6, 2-6, 6-4, 6-4, 6-4
1908	Max Decugis (FRA)	Maurice Germot (FRA)	6-2, 6-1, 3-6, 10-8
1907	Max Decugis (FRA)	Robert Wallet (FRA)	
1906	Maurice Germot (FRA)	Max Decugis (FRA)	5-7, 6-3, 6-4, 1-6, 6-3
1905	Maurice Germot (FRA)	Andre Vacherot (FRA)	
1904	Max Decugis (FRA)	Andre Vacherot (FRA)	6-1, 9-7, 6-8, 6-1
1903	Max Decugis (FRA)	Andre Vacherot (FRA)	6-3, 6-2
1902	Michel Vacherot (FRA)	Max Decugis (FRA)	6-4, 6-2
1901	Andre Vacherot (FRA)	Paul Lebreton (FRA)	
1900	Paul Ayme (FRA)	Andre Prevost (FRA)	6-3, 6-0
1899	Paul Ayme (FRA)	Paul Lebreton (FRA)	9-7, 3-6, 6-3
1898	Paul Ayme (FRA)	Paul Lebreton (FRA)	5-7, 6-1, 6-2
1897	Paul Ayme (FRA)	Francky Wardan (BRI)	4-6, 6-4, 6-2
1896	Andre Vacherot (FRA)	Gerard Brosselin (FRA)	6-1, 7-5
1895	Andre Vacherot (FRA)	Laurent Riboulet (FRA)	9-7, 6-2
1894	Andre Vacherot (FRA)	Gerard Brosselin (FRA)	1-6, 6-3, 6-3
1893	Laurent Riboulet (FRA)	Jean Schopfer (FRA)	6-3, 6-3
1892	Jean Schopfer (FRA)	F. L. Fassitt (BRI[i])	6-2, 1-6, 6-2
1891	H. Briggs (BRI)	P. Baigneres (FRA)	6-3, 6-4
