YEAR	WINNER	RUNNER-UP	SCORE
1947	Patricia Canning Todd (USA)	Doris Hart (USA)	6-3, 3-6, 6-4
1946	Margaret Osborne duPont (USA)	Pauline Betz Addie (USA)	1-6, 8-6, 7-5
1945	Lolette Payot (SUI)	Simone Iribarne Lafargue ()	6-3, 6-4
1944	Raymonde Jones Veber (FRA)	Jacqueline Patorni ()	6-4, 9-7
1943	Simone Iribarne Lafargue (FRA)	Alice Weiwers ()	6-1, 7-5
1942	Alice Weiwers (LUX)	Lolette Payot ()	6-4, 6-4
1941	Alice Weiwers (LUX)	Anne-Marie Seghers ()	6-3, 6-0
1939	Simone Mathieu (FRA)	Jadwiga Jedrzejowska (POL)	6-3, 8-6
1938	Simone Mathieu (FRA)	Nelly Adamson Landry (FRA)	6-0, 6-3
1937	Hilde Krahwinkel Sperling (GER)	Simone Mathieu (FRA)	6-2, 6-4
1936	Hilde Krahwinkel Sperling (GER)	Simone Mathieu (FRA)	6-3, 6-4
1935	Hilde Krahwinkel Sperling (GER)	Simone Mathieu (FRA)	6-2, 6-1
1934	Margaret Scriven Vivian (GBR)	Helen Jacobs (USA)	7-5, 4-6, 6-1
1933	Margaret Scriven Vivian (GBR)	Simone Mathieu (FRA)	6-2, 4-6, 6-4
1932	Helen Wills Moody (USA)	Simone Mathieu (FRA)	7-5, 6-1
1931	Cilly Aussem (GER)	Betty Nuthall (GBR)	8-6, 6-1
1930	Helen Wills Moody (USA)	Helen Jacobs (USA)	6-2, 6-1
1929	Helen Wills Moody (USA)	Simone Mathieu (FRA)	6-3, 6-4
1928	Helen Wills Moody (USA)	Eileen Bennett Whittingstall (GBR)	6-1, 6-2
1927	Kea Bouman (NED)	Irene Bowder Peacock (ZAF)	6-2, 6-4
1926	Suzanne Lenglen (FRA)	Mary Browne (USA)	6-1, 6-0
1925	Suzanne Lenglen (FRA)	Kitty McKane Godfree (GBR)	6-1, 6-2
1924	Emilienne Didi Vlasto (FRA)	Jeanne Vaussard (FRA)	6-2, 6-3
1923	Suzanne Lenglen (FRA)	Germaine Golding (FRA)	6-1, 6-4
1922	Suzanne Lenglen (FRA)	Germaine Golding (FRA)	6-4, 6-2
1921	Suzanne Lenglen (FRA)	Germaine Golding (FRA)	walkover
1920	Suzanne Lenglen (FRA)	Marguerite Broquedis (FRA)	6-1, 7-5
1914	Marguerite Broquedis (FRA)	Suzanne Lenglen (FRA)	5-7, 6-4, 6-3
1913	Marguerite Broquedis (FRA)	Jeanne Matthey (FRA)	6-3, 6-3
1912	Jeanne Matthey (FRA)	Marie Danet (FRA)	6-2, 7-5
1911	Jeanne Matthey (FRA)	Marguerite Broquedis (FRA)	6-2, 7-5
1910	Jeanne Matthey (FRA)	Marguerite Broquedis (FRA)	
1909	Jeanne Matthey (FRA)	Abeille Villard Gallay (FRA)	10-8, 6-4
1908	Kate Gillou-Fenwick (FRA)	Pean (FRA)	6-2, 6-2
1907	Comtesse Therese Villard de Kermel (FRA)	Catherine d'Aliney d'Elva (FRA)	6-1, retired
1906	Kate Gillou-Fenwick (FRA)	Mac Veagh (FRA)	N/A
1905	Kate Gillou (FRA)	Yvonne de Pfeffel (FRA)	6-0, 11-9
1904	Kate Gillou (FRA)	Adine Masson (FRA)	N/A
1903	Adine Masson (FRA)	Kate Gillou (FRA)	6-0, 6-8, 6-0
1902	Adine Masson (FRA)	P Girod (FRA)	6-0, 6-1
1901	P Girod (FRA)	Leroux (FRA)	6-1, 6-1
1900	Helene Prevost (FRA)	N/A ()	N/A
1899	Adine Masson (FRA)	N/A ()	N/A
1898	Adine Masson (FRA)	N/A ()	N/A
1897	Adine Masson (FRA)	P Girod (FRA)	6-3, 6-1
